Number of Bodies,Name,Department,Classification,PB Reform,Regulatory Function,Description/Terms of Reference,Notes,Address,Phone,Email,Website,Chair,Chair's Remuneration (p.a. unless otherwise stated),Chief Executive / Secretary,Chief Executive / Secretary Remuneration,Public Meetings,Public Minutes,Register of Interests,Ombudsman,Last Annual Report,Last Review,Government Funding,Total Gross Expenditure,Staff employed,Audit Arrangements,OCPA Regulated,Chair Ministerial or non-ministerial Appt,"Chair
Paid or unpaid","Chair
No.Male","Chair
No.Female","Chair
No.Gender Unknown/ undeclared","Members
Ministerial or non-ministerial Appt","Members
Paid or unpaid?","Members
No. Male","Members
No. Female","Members
No. Gender Unknown/ undeclared",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Royal Mint Advisory Committee on the Design of Coins, Medals, Seals and Decorations",Her Majesty's Treasury,Advisory NDPB,Retain,No,"The purpose of the committee is to raise the standard of numismatic and medallic art in Britain and this remains its primary concern, being charged on behalf of HM Treasury and other government departments with the recommendation of all new designs for United Kingdom coins, official medals, seals and decorations.  It was established with the personal approval of King George V.",Established 1922.  ,"Royal Mint Museum, Llantrisant, Pontyclun, CF72 8YT",01443 623005,kevin.clancy@royalmintmuseum.org.uk,http://www.royalmintmuseum.org.uk/about-us/royal-mint-advisory-committee/index.html,Lord Waldegrave of North Hill,£0,Dr Kevin Clancy,£0,No,No,Yes,-,2012-13,2014,£0,£0,0,NAO (alongside the Royal Mint),Yes,Royal appointment by recommendation of the Chancellor,Unpaid,1,-,-,Royal appointment by recommendation of the Chancellor,Unpaid,8,1,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Royal Museums Greenwich,"Department for Culture, Media and Sport",Executive NDPB,Retain,No,"The Museum works to illustrate for everyone the importance of the sea, ships, time and the stars, and their relationship with people.",Established 1937.,"Greenwich, London SE10 9NF",020 8858 4422,rmgenquiries@rmg.co.uk,www.rmg.co.uk,Sir Charles Dunstone,£0,"Dr Kevin Fewster AM, FRSA","£130000 - £135,000",No,Yes,Yes,PHSO,2013-14,-,"£16,599,000","£30,821,000",474,NAO,Yes,Ministerial,Unpaid,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Royal Parks,"Department for Culture, Media and Sport",Executive Agency,-,No,"The Royal Parks is responsible for managing and preserving over 5,000 acres of historic parkland across London, including valuable conservation areas and important habitats for wildlife.  The Royal Parks are: Bushy Park, The Green Park, Greenwich Park, Hyde Park, Kensington Gardens, The RegentÕs Park & Primrose Hill, Richmond Park, and St JamesÕs Park. TRP is also responsible for a number of other spaces in London, including Brompton Cemetery, Victoria Tower Gardens, the gardens of 10, 11 and 12 Downing Street, and Grosvenor Square Gardens.",Established 1993 as an Executive Agency.  Appointments are made by Mayor of London's office.,"The Old Police House, Hyde Park, London, W2 2UH",0300 061 2000,hq@royalparks.gsi.gov.uk,http://www.royalparks.org.uk/,The Honourable Apurv Bagri,£0,Linda Lennon,"£80,000 - £90,000",No,Yes,Yes,PHSO,2013-14,-,"£17,582,000","£37,052,000",109,NAO,No,Non Ministerial,Unpaid,1,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Rural Payments Agency,"Department for Environment, Food and Rural Affairs",Executive Agency,-,No,"RPA's work helps the Department for Environment, Food and Rural Affairs to encourage a thriving farming and food sector and strong rural communities.  It is the accredited paying agency for all CAP schemes in England.",Established 2001.,"Rural Payments Agency, North Gate House, Reading, RG1 1AF",0845 603 7777,csc@rpa.gsi.gov.uk,https://www.gov.uk/government/organisations/rural-payments-agency,Trevor Spires,"£20,000-£30,000",Mark Grimshaw,"£160,000-£170,000",No,No,Yes,PHSO,2013-14,2010,"£170,741,000","£170,741,000","2,018",NAO,No,Ministerial,paid,1,0,0,Ministerial,Paid,4,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,School TeachersÕ Review Body,Department for Education,Advisory NDPB,Retain,No,The School TeachersÕ Review Body was established to report to the Prime Minister and to the Secretary of State for Education on the statutory pay and conditions of school teachers in England and Wales. Its recommendations cover pay and conditions for school teachers.,"Established 1991. Chair is a Prime MinisterÕs appointment, with fees paid on a per diem basis. The Review Body does not employ staff but a secretariat is provided by BIS to all Pay Review Bodies.  STRBÕs work is estimated to be approximately 4 FTEs. ","8th Floor, Fleetbank House, 2-6 Salisbury Square, London, EC4Y 8JX",020 7211 8116,gillian.barton@bis.gsi.gov.uk,https://www.gov.uk/government/organisations/school-teachers-review-body,Dr Patricia Rice,£350 per day,Gillian Barton,Civil Servant,No,No,Yes,N/A,2014-15,-,£0,£0,4,N/A,Yes,-,-,-,-,-,Ministerial ,Paid ,5,2,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Science Advisory Committee on the Medical Implications of Less-Lethal Weapons,Ministry of Defence,Advisory NDPB,Retain,No,"To provide advice on the biophysical, biomechanical, pathological and clinical aspects of generic classes of less-lethal weapon systems.",Established 2009.,"HQ Surgeon General, Floor 6 Zone E, MOD Main Building, Whitehall, London, SW1A 2HB",020 7807 0464,david.holdridge114@mod.uk,https://www.gov.uk/government/organisations/science-advisory-committee-on-the-medical-implications-of-less-lethal-weapons,Prof R J Flower FRS,£465 per day,Mr David Holdridge,Civil Servant,No,No,Yes,PHSO,2013-14,2014,"£70,000","£65,228",0,NAO,Yes,Ministerial,Paid,1,-,-,Ministerial,Paid,7,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Science Advisory Council,"Department for Environment, Food and Rural Affairs",Advisory NDPB,Retain,No,The SAC challenges and supports the DepartmentÕs Chief Scientific Adviser (CSA) in independently assuring and challenging the evidence underpinning Defra policies and ensuring that the evidence programme meets DefraÕs needs.,Established 2004.  Following a Triennial Review in 2014 Terms of Reference were refreshed to reflect the report recommendations. ,"Science Advisory Council, Area 2c, Nobel House, 17 Smith Square, London, SW1P 3JR
",020 7238 8505,Science.Advisory.Council@defra.gsi.gov.uk,https://www.gov.uk/government/organisations/science-advisory-council,Professor Charles Godfray,"£2,500",Claire Hill,Civil Servant,No,Yes,Yes,-,2013-14,2014,"£14,900","£14,900",2,-,Yes,Ministerial,Paid,1,0,0,Ministerial,Paid,2,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Science and Technology Facilities Council,"Department for Business, Innovation and Skills",Executive NDPB,Retain,No,"STFC has three distinct but interrelated functions: ¥ Universities: supporting university-based research, innovation and skills development in astronomy, particle physics and nuclear physics;
¥ Scientific facilities: providing access to world-leading, large-scale facilities across a range of physical and life sciences, enabling research, innovation and skills training in these areas, and;
¥ National campuses: building national Science and Innovation Campuses around our national laboratories to promote academic and industrial collaboration and translation of our research to market through direct interaction with industry.",Formed as a new Research Council in 2007 through a merger of the Council for Central Laboratory of the Research Councils and the Particle Physics and Astronomy Research council and the transfer of responsibility for nuclear physics from the Engineering and Physical Sciences Research Council. ,"Polaris House, North Star Avenue, Swindon SN2 1SZ",01793 442000,enquiries@stfc.ac.uk,http://www.stfc.ac.uk/,Professor Sir Michael Sterling,"£20,000-25,000",Professor John Womersley,"£130,000-135,000",No,Yes,Yes,PHSO,2013-14,2014,"£578,919,000","£590,775,000","1,775",NAO,Yes,Ministerial,Paid,1,-,-,Ministerial,Paid,-,-,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Science Museum Group,"Department for Culture, Media and Sport",Executive NDPB,Retain,Yes,"To care for, preserve and add to the objects in the collections, to ensure that objects are exhibited to the public and to promote the publicÕs enjoyment and understanding of science and technology.",The National Museum of Science and Industry and the Museum of Science and Industry Manchester merged to form the Science Museum Group on 1 February 2012.  From 2013-14 we have taken over the statutory functions of the Railway Heritage Committee. Dame Mary Archer from 1 January 2015,"Exhibition Road, South Kensington, London SW7 2DD",0870 870 4771,info@sciencemuseum.ac.uk,http://www.sciencemuseum.org.uk/about_us/smg.aspx,Dame Mary Archer ,£0,Ian Blatchford,"£140,000-145,000",No,Yes,Yes,PHSO,2013-14,-,"£42,398,000","£77,378,000",799,NAO,Yes,Ministerial,Unpaid,-,1,-,16 ministerial,16 unpaid,10,6,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sea Fish Industry Authority,"Department for Environment, Food and Rural Affairs",Executive NDPB,Retain,Yes,"Supports all sectors of the seafood industry for a sustainable, profitable future and aims to support and improve the environmental sustainability, efficiency and cost-effectiveness of the industry, as well as promoting sustainably-sourced seafood.ÊSeafish is funded by a levy on the first sale of seafood landed and imported in the UK.","This is a Levy funded body, established by the Fisheries Act 1981.
","Seafish, 18 Logie Mill, Logie Green Road, Edinburgh, EH7 4HS",0131 558 3331,seafish@seafish.co.ukÊ,http://www.seafish.org/,Elaine Hayes,"£15,000 - £25,000",Paul Williams,"£95,000 - £105,000",Yes,Yes,Yes,PHSO,2013 - 14,2011,"£8,155,000","£12,059,000",90,NAO,Yes,Ministerial,Paid,0,1,0,Ministerial appointment,Paid,6,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Security Industry Authority,Home Office,Executive NDPB,No longer an NDPB,Yes,"The Security Industry Authority (SIA) is the organisation responsible for regulating the private security industry. They are an independent body reporting to the Home Secretary, under the terms of the Private Security Industry Act 2001.",The SIA was established under the Private Security Industry Act 2001.  Elizabeth France is Chair.  Remuneration is  based on 2.5 working days per week (according to the Terms of reference on file). ,"PO Box 49768, London, WC1V 6WY",020 7025 4250,sara.brennan@sia.gsi.gov.uk,http://sia.homeoffice.gov.uk/Pages/home.aspx,Elizabeth France,"£109,926 p.a. pro-rata (Pro-rata figure is 54,963)",Alan Clamp,"£120,000-125,000",Yes,Yes,Yes,PHSO,2013-14,2010,£0,"£27,312,314",158,NAO,Yes,Ministerial,Paid,-,1,-,Ministerial,Paid,5,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Security Vetting Appeals Panel,Cabinet Office,Advisory NDPB,Retain,No,To hear appeals against the refusal or withdrawal of security clearance and to make recommendations to the appropriate head of department.,Established 1997. Not subject to the Freedom of Information Act. Costs borne by the Cabinet Office as the sponsor department and included in their Accounts.,"The Secretary, Security Vetting Appeals Panel, Room 335, Cabinet Office, 70 Whitehall, London SW1A 2AS.",020 7276 5645,svap@cabinet-office.x.gsi.gov.uk,-,Sir George Newman,"£11,685 (£793 per day when sitting)",Martin Sterling,Civil Servant,No,No,Yes,-,2013,2013,"£56,000","£73,910",2,-,Yes,Ministerial,Paid,1,,,Ministerial,9 Paid,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Senior Salaries Review Body,Cabinet Office,Advisory NDPB,Retain,No,"The Review Body on Senior Salaries provides independent advice to the Prime Minister, the Lord Chancellor and the Secretary of State for Defence on the remuneration of holders of judicial office, senior civil servants, senior officers of the armed forces and other such public appointments as may from time to time be specified.","Established 1971. Members are paid per day. Costs are split between CO, HO, MoJ, MoD, DH.","Office of Manpower Economics, 8th Floor, Fleetbank House, 2-6 Salisbury Square, London, EC4Y 8JX",020 7211Ê8300,neil.higginbottom@bis.gsi.gov.uk,http://www.ome.uk.com/Senior_Salaries_Review_Body.aspx,Dr Martin Read,"£11,500 (£350 per day).",Adrian Dottridge,Civil Servant,No,No,Yes,-,2014,2011,"£32,000","£32,000",0,NAO,Yes,Ministerial,Paid,1,-,-,7 Ministerial Appointments,Paid,5,2,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sentencing Council for England and Wales,Ministry of Justice,Advisory NDPB,Retain,No,"The Sentencing Council for England and Wales promotes greater consistency in sentencing, whilst maintaining the independence of the judiciary. The Council produces guidelines on sentencing for the judiciary and aims to increase public understanding of sentencing.","In 2010, the Sentencing Council replaced the Sentencing Guidelines Council (2004) and the Sentencing Advisory Panel (2004). The Lord Chief Justice is the president of the Sentencing Council. In his role he provides oversight to the Council and appoints judicial members. Board members - full time judicial members are not paid. The magistrate member is paid. Non judicial members who do not hold other public service roles are paid (currently 4 of 6). ","Room EB16, Royal Courts of Justice, London WC2A 2LL",020 7071 5793,info@sentencingcouncil.gsi.gov.uk,http://sentencingcouncil.judiciary.gov.uk/index.htm,Lord Justice Treacy,£0,Claire Fielder ,Civil Servant,No,Yes,Yes,PHSO,2013-14,2010,"£1,409,109","£1,409,109",19,NAO through MoJ,Yes,Non-ministerial,Unpaid,1,0,0,6 Ministerial / 7 Non-ministerial,Full time judicial members are not paid. The magistrate member is paid. Non judicial members who do not hold other public service roles are paid (currently 4 of 6),9,5,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Serious Fraud Office,Serious Fraud Office,Non Ministerial Department,-,No,"The Serious Fraud Office (SFO) is a non-Ministerial government department. Its role is to investigate and prosecute cases of serious or complex fraud in England, Wales and Northern Ireland and overseas bribery and corruption with a UK connection. Since the introduction of the 2010 Bribery Act, its role has expanded to include domestic corruption as well. The SFO is headed by the Director, David Green CB QC, who acts under the superintendence of the Attorney General.",The Serious Fraud Office (SFO) was established by the Criminal Justice Act 1987. The Director of the Serious Fraud Office is an executive position. The position of  Chair of the Board and Chief Executive are held by the same person so the Chair information has been left blank with only the Chief Executive information listed. ,"2-4 Cockspur Street, London, SW1Y 5BS",020 7239 7000,public.enquiries@sfo.gsi.gov.uk,http://www.sfo.gov.uk/,-,-,David Green CB QC,"£170,000 - 175,000",No,No,Yes,-,2013-14,-,"£58,810,000","£58,810,000",411,NAO,No,Non Ministerial,Paid ,1,-,-,Non-Ministerial ,Paid,2,1,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Single Source Regulations Office (SSRO),Ministry of Defence,Executive NDPB,-,No,"The aim of the SSRO is to ensure that good value for money is obtained in government expenditure on qualifying defence contracts (single source contracts) and that single source suppliers are paid a fair and reasonable price under those contracts. It does this by acting as the guardian of the new single source regulations, by providing guidance on costing issues, by recommending, annually, a baseline profit rate to the Secretary of State for Defence and by providing a referrals service to both MOD and industry on pricing issues.    ",Established via the Defence Reform Act 2014 and commenced in July 2014.,"Finlaison House, 15-17 Furnival Street, London",0207 218 2877,charly.wason284@mod.uk,https://www.gov.uk/government/organisations/single-source-regulations-office,Jeremy Newman,"£46,000",Marcine Waterman,"£142,000 annual equivalent plus potential bonus",Yes,Yes,Yes,N/A,2014-15,-,"£1,648,000","£1,407,000",2,NAO,Yes,Ministerial,Paid,1,-,-,Ministerial,Paid,1,2,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sir John Soane's Museum,"Department for Culture, Media and Sport",Executive NDPB,Retain,No,"This is the House, Museum and Collections of the architect Sir John Soane, who died in 1837. The Collections comprise works of art, paintings, books, manuscripts and architectural models and drawings.",Established 1837.,"13 LincolnÕs Inn Fields, London WC2A 3BP",020 7405 2107, LTilley@soane.org.uk,http://www.soane.org/,Guy Elliott,£0,Abraham Thomas,"£69,000.00",No,Yes,Yes,PHSO,2013-14,-,"£1,150,000","£2,371,197",43,NAO,No,Non Ministerial,0,1,-,-,Non Ministerial,0,3,6,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Skills Funding Agency,"Department for Business, Innovation and Skills",Executive Agency,-,No,The Skills Funding Agency funds and promotes adult further education and skills training in England (excluding higher education).,Established April 2010.  Peter Lauener was appointed the new permanent Chief Executive in November 2014.  ,"Cheylesmore House, Quinton Road, Coventry, CV1 2WT",0345 377 5000,info@sfa.bis.gov.uk,https://www.gov.uk/government/organisations/skills-funding-agency,Paul Drechsler,£0,Peter Lauener,"£140,000",No,No,Yes,PHSO,2013-14,2011,"£4,178,531,000","£4,339,096,000",868,NAO,No,Ministerial,Unpaid,1,-,-,Non-ministerial appt,External members unpaid (member's data includes Peter Lauener and Rachel Sandby-Thomas),7,-,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Social Mobility and Child Poverty Commission,Department for Education,Advisory NDPB,-,No,The Social Mobility and Child Poverty (SMCP) Commission monitors the progress of government and others in improving social mobility and reducing child poverty in the United Kingdom.,Established 2012.  ,"Sanctuary Buildings, 20 Great smith Street, London, SW1P 3BT",0207 340 8397,contact@smcpcommission.gsi.gov.uk,https://www.gov.uk/smcpc/,Rt Hon Alan Milburn,£0,-,-,No,No,Yes,N/A,2013-14,N/A,"£600,000","£471,656",7,NAO,Yes,Ministerial,Unpaid,-,-,-,Ministerial ,Unpaid,6,3,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,"Social Science Research Committee, The",Food Standards Agency,Advisory NDPB,-,No,"Provides advice to the Food Standards Agency about how it gathers and uses social science evidence.
",Established 2008.,"SSRC Secretariat, Food Standards Agency, Room 1C Aviation House, 125 Kingsway, London, WC2B 6NH
",020 7276 8743,ssrc@foodstandards.gsi.gov.uk,http://ssrc.food.gov.uk/,Professor Peter Jackson,"£5,877",Helen Atkinson,Civil Servant,Yes,Yes,Yes,PHSO,2011-12,2012,"£27,742","£27,742",1,-,No,Non Ministerial,Paid,1,-,-,Non-Ministerial,Paid,3,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
